frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
110,1.0,[657.7238362794609 280.8495661533626 944.385461828237 566.5818250728834],[698.6244506835938 498.84442138671875 763.8280029296875 537.5001831054688],0.8291807174682617,BAD6622,0.9475438667768736
114,1.0,[657.0397362797206 279.4789629705697 948.3159990118851 577.9751039697536],[692.993408203125 508.6747741699219 760.0386352539062 548.23779296875],0.8154902458190918,BAD6622,0.9733659571857717
117,1.0,[655.889055270632 276.1113200874989 947.0648285190545 583.850870207373],[681.1179809570312 514.9592895507812 751.3696899414062 555.4395141601562],0.8152647614479065,BAD6622,0.9216293844052293
118,1.0,[655.865507159536 275.1255828071113 947.3136319223256 585.4870794406537],[687.3754272460938 517.6744995117188 750.2060546875 557.3177490234375],0.7911431789398193,BAD6622,0.9915803763233565
119,1.0,[656.2810916799158 273.83849163209084 948.3821526840682 587.4617739548114],[669.467529296875 518.2556762695312 747.1154174804688 559.12744140625],0.7756213545799255,BAD6622,0.9158083416117123
120,1.0,[656.0992291545876 272.91554258980585 948.6414777400892 589.9536072177166],[663.9850463867188 520.3925170898438 745.801025390625 562.64111328125],0.7831143140792847,BAD6622,0.9274433345667751
121,1.0,[656.1517052364786 272.4518162640496 949.0789571650373 592.6793330668842],[661.9992065429688 523.2186279296875 743.5064086914062 566.9795532226562],0.8037187457084656,BAD6622,0.8809096371798211
122,1.0,[656.2785103439576 271.7847582011288 949.4846800684493 595.0903181685821],[660.2542724609375 523.8074340820312 740.86376953125 569.6968994140625],0.8563842177391052,BAD6622,0.9053979626440954
123,1.0,[656.5809197878631 271.63116973516003 950.3567393476777 597.8687593609267],[659.4910278320312 525.5812377929688 740.3090209960938 571.2356567382812],0.8593155145645142,BAD6622,0.97214424462453
124,1.0,[657.073055196794 271.54600055462413 951.8198968827942 600.854791880365],[659.901123046875 529.3321533203125 742.0032348632812 572.2050170898438],0.8188365697860718,BAD6622,0.8861144950752162
125,1.0,[657.4539239830923 270.96965589430425 953.4261725584444 603.2851171106231],[659.653076171875 529.008544921875 739.4597778320312 575.70849609375],0.8266043066978455,BAD6622,0.9679034404306803
126,1.0,[657.3162165907385 270.54025437598625 953.9521509595064 605.4056010399275],[659.659423828125 531.9552612304688 737.742919921875 579.1118774414062],0.8092228770256042,BAD6622,0.9094167931441065
127,1.0,[658.0894124397159 269.24521959086 956.5315905263044 606.4297156656162],[659.9205322265625 532.554931640625 737.625732421875 580.2474975585938],0.8219748139381409,BAD6622,0.974760696912311
128,1.0,[658.3764836530988 268.2232562789535 958.672456348178 607.914067300301],[659.6651611328125 535.81201171875 733.9863891601562 581.408203125],0.7491943836212158,BAD6622,0.9434149630374655
131,1.0,[657.8582715113814 266.4586630208156 963.5018164123901 611.6658830903339],[657.931640625 537.51318359375 730.8359985351562 584.2106323242188],0.7548343539237976,BAD6622,0.9398976621256304
133,1.0,[657.4224468167572 264.9806544713971 964.5677317948189 614.1495277647815],[657.58154296875 538.5780029296875 727.661865234375 584.5469970703125],0.7257375717163086,BAD6622,0.9062889852382722
134,1.0,[657.3965000154647 264.4017428096324 965.0399675047904 614.9337880424681],[658.2256469726562 540.5054321289062 726.5751342773438 585.8260498046875],0.6117451786994934,BAD6622,0.9798498475607289
135,1.0,[657.2703285158644 263.50240657190227 965.2643561018189 615.6944963758228],[659.252197265625 541.46923828125 723.6654052734375 585.9561767578125],0.6093900203704834,BAD6622,0.955659933377269
177,1.0,[663.3290602904485 241.7392875137941 993.1503102773102 593.6438289100405],[665.223876953125 518.1339111328125 744.6552124023438 563.7775268554688],0.6617876887321472,BAD6622,0.9603223264206936
178,1.0,[662.9144890313655 241.26670297706127 994.0956959127486 591.9501991303327],[664.3406982421875 518.041259765625 748.130126953125 561.7361450195312],0.7322233319282532,BAD6622,0.9488070414644406
